model,shock,family,design,treatment,outcome,opp,n_specs,n_p05,n_p10,share_p05,share_p10,median_beta,median_t,median_abs_t,min_p,max_p,modal_sign,sign_consistency,min_treated_firms,min_control_firms,median_nobs,robust_score,robust_candidate
firm_did,NATGAS_1990,gas,national,pre_gas_any,multi_seg,,3,0,1,0.0,0.3333333333333333,-0.016824174394957054,-0.830838638851973,0.830838638851973,0.06247143752691886,0.888469951377516,-1.0,1.0,162,6403,62601,2.4154193194259865,False
firm_did,FERC636_1992,gas,national,pre_gas_any,n_op_seg,,3,0,1,0.0,0.3333333333333333,0.051626522427685846,0.7219958534321876,0.7219958534321876,0.05072220386301951,0.4933418893032333,1.0,1.0,150,6716,65368,2.360997926716094,False
rsz,FERC636_1992,gas,national,energy_segment,rel_inv,l_margin,6,0,1,0.0,0.16666666666666666,-0.00906709051554956,-0.630566322949431,0.630566322949431,0.09958332654878377,0.8444428826231078,-1.0,1.0,385,1901,41970,2.3152831614747154,False
firm_did,FERC636_1992,gas,national,pre_gas_any,log_nseg,,3,0,1,0.0,0.3333333333333333,0.010439826673818592,0.554813542701939,0.554813542701939,0.09929380709020363,0.6717150502658495,1.0,1.0,150,6716,65368,2.2774067713509694,False
firm_did,RGGI_2009,carbon,regional,pre_carbon_any,n_op_seg,,3,0,1,0.0,0.3333333333333333,0.166386728522259,0.9889141148805066,1.064749063197846,0.092284876048498,0.32274879324752814,1.0,0.6666666666666666,17,331,3790,2.1990411982655895,False
rsz,OIL_COLLAPSE_1986,oil,national,oilgas_segment,rel_inv,sgrow,6,0,1,0.0,0.16666666666666666,-0.010277707222545637,-0.8382413655334296,0.8382413655334296,0.08172877494539232,0.9591027380535411,-1.0,0.6666666666666666,397,2423,49444,2.085787349433381,False
firm_did,OIL_COLLAPSE_1986,oil,national,pre_energy_any,log_nseg,,3,0,0,0.0,0.0,0.013940546423588402,1.463312489958326,1.463312489958326,0.12499634458190889,0.25562726849988127,1.0,1.0,798,5454,56539,1.731656244979163,False
firm_did,WTI_1983,oil,national,pre_oilgas_any,nonop_sales_share,,3,0,0,0.0,0.0,-0.0038859138502904994,-1.3966389350934716,1.3966389350934716,0.15668753001323843,0.2777881903848669,-1.0,1.0,668,5005,52538,1.6983194675467357,False
firm_did,OIL_COLLAPSE_1986,oil,national,pre_oilgas_any,nonop_sales_share,,3,0,0,0.0,0.0,-0.0021868368810263094,-1.3838193212541436,1.3838193212541436,0.14503621516397658,0.45563932654621264,-1.0,1.0,611,5637,56539,1.6919096606270718,False
firm_did,GAS_SPIKE_2001,gas,national,pre_energy_share_z,n_op_seg,,3,0,0,0.0,0.0,-0.017462891657501627,-1.3242947999818253,1.3242947999818253,0.17510063587517166,0.23906776269140195,-1.0,1.0,7996,0,72297,1.6621473999909127,False
