status,k,beta,se,t,p,nobs,firms,shock,treatment,outcome,span,check
ok,5,0.03551414443337026,0.013068311933045907,2.717577037900776,0.006577713495369952,88287,14222,FERC636_1992,pre_energy_share_z,n_op_seg,5,event_study
ok,-5,-0.03217829195310727,0.004607673934154609,-6.983630441942539,2.9052316108391096e-12,73835,11852,OIL_COLLAPSE_1986,pre_oilgas_share_z,hhi,5,event_study
ok,-4,-0.03274983114164009,0.003922565921837678,-8.34908368507346,0.0,73835,11852,OIL_COLLAPSE_1986,pre_oilgas_share_z,hhi,5,event_study
ok,-3,-0.02377932821731607,0.003343155392543717,-7.112839645549057,1.149080830487037e-12,73835,11852,OIL_COLLAPSE_1986,pre_oilgas_share_z,hhi,5,event_study
ok,-2,-0.014523551903547354,0.0024669362526647904,-5.887283016680702,3.946119431219586e-09,73835,11852,OIL_COLLAPSE_1986,pre_oilgas_share_z,hhi,5,event_study
ok,0,0.01048199322834033,0.003077151675471985,3.406394722721155,0.0006586871088558599,73835,11852,OIL_COLLAPSE_1986,pre_oilgas_share_z,hhi,5,event_study
ok,1,0.018683122596230454,0.003900951627064557,4.789375614557259,1.676870474254244e-06,73835,11852,OIL_COLLAPSE_1986,pre_oilgas_share_z,hhi,5,event_study
ok,2,0.025368478966841676,0.0049040190215468415,5.1729976689282635,2.3108341573596647e-07,73835,11852,OIL_COLLAPSE_1986,pre_oilgas_share_z,hhi,5,event_study
ok,3,0.0265685641697086,0.0054449388235216735,4.879497278267785,1.06620230466703e-06,73835,11852,OIL_COLLAPSE_1986,pre_oilgas_share_z,hhi,5,event_study
ok,4,0.023866875816029698,0.006303820351729368,3.7860970783347505,0.00015317613888510273,73835,11852,OIL_COLLAPSE_1986,pre_oilgas_share_z,hhi,5,event_study
ok,5,0.017339241558324503,0.006235552799184883,2.780706397128271,0.005425713681551869,73835,11852,OIL_COLLAPSE_1986,pre_oilgas_share_z,hhi,5,event_study
ok,-5,0.08884113641290044,0.01887416442674868,4.707023548390506,2.5183726626298863e-06,83449,13021,EU_ETS_2005,pre_energy_any,multi_seg,5,event_study
ok,-4,0.06694740938096835,0.015281679363151618,4.380893473160888,1.183641422186632e-05,83449,13021,EU_ETS_2005,pre_energy_any,multi_seg,5,event_study
ok,-3,0.06326646921039512,0.013004288508117802,4.865046570667948,1.1467662381914323e-06,83449,13021,EU_ETS_2005,pre_energy_any,multi_seg,5,event_study
ok,-2,0.04767901148554779,0.009221444760164503,5.17044917858373,2.3416901862027828e-07,83449,13021,EU_ETS_2005,pre_energy_any,multi_seg,5,event_study
ok,0,0.01737384521685905,0.009174202422240603,1.8937717326511594,0.05825941058089623,83449,13021,EU_ETS_2005,pre_energy_any,multi_seg,5,event_study
ok,1,0.02882437733737768,0.011907134731540285,2.4207651955953815,0.015490389884707412,83449,13021,EU_ETS_2005,pre_energy_any,multi_seg,5,event_study
ok,2,0.014700219065123383,0.01504665101722727,0.9769761422852667,0.32858432046751984,83449,13021,EU_ETS_2005,pre_energy_any,multi_seg,5,event_study
ok,3,4.3689533550363255e-05,0.017038712031155104,0.0025641335724482816,0.9979541269170733,83449,13021,EU_ETS_2005,pre_energy_any,multi_seg,5,event_study
ok,4,-0.014771777851717162,0.018360288160637936,-0.8045504363807279,0.4210818698769865,83449,13021,EU_ETS_2005,pre_energy_any,multi_seg,5,event_study
ok,5,-0.022971908760484435,0.018250107466862023,-1.2587273144662907,0.20813301552268415,83449,13021,EU_ETS_2005,pre_energy_any,multi_seg,5,event_study
