status,beta,se,t,p,nobs,firms,t_std,t_p25,t_p75,shock,treatment,outcome,dropped_k,span,check
ok,0.012874346734996312,0.003164751149830825,4.068043939468834,4.749054053854174e-05,51078,6273,0.9352104912603855,-0.3038856433758858,-0.3038856433758858,OIL_COLLAPSE_1986,pre_oilgas_share_z,log_nseg,-2,5,leave_one_relative_year
ok,0.013928448727435776,0.0034837270339239286,3.9981458339884157,6.395286019111879e-05,46276,5453,0.955075322542568,-0.3038856433758858,-0.3038856433758858,OIL_COLLAPSE_1986,pre_oilgas_share_z,log_nseg,-1,5,leave_one_relative_year
ok,0.01385144473518035,0.0034686042285802235,3.9933771114757746,6.524785795192223e-05,48531,5838,0.9164643939823144,-0.3038856433758858,-0.3038856433758858,OIL_COLLAPSE_1986,pre_oilgas_share_z,log_nseg,0,5,leave_one_relative_year
ok,0.013679295994613719,0.003147002015215569,4.346770649804204,1.3846323156041507e-05,50705,6273,0.935456176766261,-0.3038856433758858,-0.3038856433758858,OIL_COLLAPSE_1986,pre_oilgas_share_z,log_nseg,1,5,leave_one_relative_year
ok,0.012316648364817889,0.003022191906257704,4.075402471734249,4.6013761987984125e-05,51184,6274,0.9353876392658891,-0.3038856433758858,-0.3038856433758858,OIL_COLLAPSE_1986,pre_oilgas_share_z,log_nseg,2,5,leave_one_relative_year
ok,0.012008222599566375,0.0029350520231279076,4.091315078895644,4.2967485837319686e-05,51613,6275,0.9353191166728217,-0.3038856433758858,-0.3038856433758858,OIL_COLLAPSE_1986,pre_oilgas_share_z,log_nseg,3,5,leave_one_relative_year
ok,0.012222989965994907,0.002920961097044408,4.184578143941326,2.862300452943778e-05,51933,6275,0.9353191166728217,-0.3038856433758858,-0.3038856433758858,OIL_COLLAPSE_1986,pre_oilgas_share_z,log_nseg,4,5,leave_one_relative_year
ok,0.011979286773337565,0.0029771176836358294,4.023786778461429,5.736152358037927e-05,52169,6275,0.9353191166728217,-0.3038856433758858,-0.3038856433758858,OIL_COLLAPSE_1986,pre_oilgas_share_z,log_nseg,5,5,leave_one_relative_year
ok,0.007773493294749877,0.0022389143611122,3.4719922431013965,0.0005170356803816389,57978,6574,1.005360293019285,-0.3249725675314382,-0.3249725675314382,NATGAS_1990,pre_energy_share_z,log_nseg,-5,5,leave_one_relative_year
ok,0.008631919607496184,0.002249102303840977,3.8379399606477413,0.0001242211239129709,57325,6574,1.005360293019285,-0.3249725675314382,-0.3249725675314382,NATGAS_1990,pre_energy_share_z,log_nseg,-4,5,leave_one_relative_year
ok,0.009117026745118956,0.002299640738351228,3.964543936395728,7.363813296024091e-05,56817,6574,1.005360293019285,-0.3249725675314382,-0.3249725675314382,NATGAS_1990,pre_energy_share_z,log_nseg,-3,5,leave_one_relative_year
ok,0.010189880592067324,0.0023984041830781284,4.248608580639465,2.1549249614727373e-05,56410,6569,1.0057011483411944,-0.3249725675314382,-0.3249725675314382,NATGAS_1990,pre_energy_share_z,log_nseg,-2,5,leave_one_relative_year
ok,0.010916618210539939,0.0026337796339692653,4.144848745028807,3.40622202097407e-05,54079,6181,1.0091930409414838,-0.3249725675314382,-0.3249725675314382,NATGAS_1990,pre_energy_share_z,log_nseg,-1,5,leave_one_relative_year
ok,0.010835219687233602,0.0025576187776855685,4.236448286104066,2.2750406802218848e-05,54423,6180,1.0006839490442052,-0.3249725675314382,-0.3249725675314382,NATGAS_1990,pre_energy_share_z,log_nseg,0,5,leave_one_relative_year
